,precision,recall,f1-score,support
0,0.7258064516129032,0.6923076923076923,0.7086614173228347,65.0
1,0.47368421052631576,0.5142857142857142,0.4931506849315068,35.0
accuracy,0.63,0.63,0.63,0.63
macro avg,0.5997453310696095,0.6032967032967033,0.6009060511271708,100.0
weighted avg,0.6375636672325976,0.63,0.6332326609858699,100.0
